epoch,train_loss,train_mAP,train_f1,val_loss,val_mAP,val_f1,best_mAP
1,0.150100,0.025637,0.004356,0.184397,0.074379,0.000000,0.074379
2,0.131275,0.041385,0.002682,0.184728,0.088467,0.001665,0.088467
3,0.127047,0.055585,0.005889,0.176008,0.104378,0.004966,0.104378
4,0.123513,0.064417,0.009538,0.175251,0.110177,0.011067,0.110177
5,0.122499,0.075664,0.015289,0.171617,0.118678,0.010590,0.118678
6,0.118957,0.085024,0.021117,0.173777,0.122326,0.018046,0.122326
7,0.117276,0.094827,0.026192,0.171974,0.126909,0.014751,0.126909
8,0.115401,0.101903,0.029204,0.179269,0.124561,0.017793,0.126909
9,0.113874,0.110030,0.035031,0.172978,0.130861,0.024271,0.130861
10,0.112602,0.117344,0.040367,0.171686,0.132391,0.019600,0.132391
11,0.111998,0.119205,0.040130,0.173205,0.133050,0.025908,0.133050
12,0.111351,0.122801,0.046952,0.173269,0.133099,0.028988,0.133099
13,0.110333,0.128676,0.050429,0.176117,0.135053,0.024665,0.135053
14,0.110644,0.135518,0.055165,0.172053,0.136771,0.029721,0.136771
15,0.111575,0.126145,0.049024,0.174697,0.128655,0.030002,0.136771
16,0.110181,0.130724,0.050610,0.173596,0.136085,0.033823,0.136771
17,0.109087,0.135836,0.055696,0.173077,0.142085,0.029118,0.142085
18,0.108565,0.146702,0.061403,0.172194,0.143828,0.037287,0.143828
19,0.108601,0.151260,0.065259,0.173151,0.144582,0.040585,0.144582
20,0.103586,0.173002,0.081378,0.173839,0.146089,0.041506,0.146089
21,0.104296,0.166295,0.077934,0.181517,0.132829,0.038855,0.146089
22,0.106617,0.159592,0.072341,0.179242,0.136366,0.036063,0.146089
23,0.104797,0.167374,0.077902,0.171609,0.141273,0.038566,0.146089
24,0.104571,0.171146,0.081298,0.174645,0.137598,0.044387,0.146089
25,0.103790,0.176701,0.082301,0.174128,0.144785,0.044272,0.146089
26,0.100005,0.205465,0.101350,0.175559,0.146678,0.047875,0.146678
27,0.098369,0.207509,0.109217,0.176499,0.146153,0.044728,0.146678
28,0.101904,0.194096,0.097112,0.176696,0.140197,0.041448,0.146678
29,0.101335,0.193362,0.099313,0.179486,0.143623,0.050866,0.146678
30,0.098357,0.211929,0.110944,0.180834,0.141321,0.045980,0.146678
31,0.096670,0.228529,0.121054,0.182402,0.144084,0.043697,0.146678
32,0.095351,0.229034,0.124737,0.177030,0.148628,0.045835,0.148628
33,0.096883,0.222682,0.121719,0.180733,0.136525,0.041545,0.148628
34,0.100343,0.206732,0.106364,0.178932,0.135415,0.042294,0.148628
35,0.097765,0.217833,0.112882,0.180116,0.138053,0.046467,0.148628
36,0.094439,0.244211,0.139899,0.177642,0.138059,0.043930,0.148628
37,0.096757,0.224841,0.122991,0.186344,0.137273,0.047919,0.148628
38,0.095823,0.228864,0.126106,0.183283,0.144198,0.047504,0.148628
39,0.092272,0.257363,0.148697,0.183328,0.141853,0.046961,0.148628
40,0.091586,0.259430,0.149141,0.180262,0.139030,0.054151,0.148628
41,0.095815,0.234926,0.130637,0.182836,0.137129,0.055101,0.148628
42,0.095493,0.239654,0.135333,0.180650,0.141498,0.056709,0.148628
43,0.090303,0.266188,0.157989,0.183749,0.142623,0.058925,0.148628
44,0.094196,0.239731,0.142225,0.182123,0.132248,0.046225,0.148628
45,0.097882,0.215483,0.120370,0.182672,0.131885,0.043322,0.148628
46,0.095322,0.232362,0.131475,0.179162,0.139111,0.056090,0.148628
47,0.090579,0.265944,0.160018,0.185176,0.141297,0.053301,0.148628
48,0.090142,0.274094,0.167948,0.181771,0.137174,0.051241,0.148628
49,0.087413,0.297912,0.190346,0.188259,0.138225,0.063674,0.148628
50,0.086217,0.306842,0.197330,0.189780,0.137618,0.056123,0.148628
